"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"d:\Projects\mobile\Recipes\app\App.tsx", "TypeScript JSX", 0, 58, 0, 8, 66
"d:\Projects\mobile\Recipes\app\global\components\Filters\FilterComponent.tsx", "TypeScript JSX", 0, 129, 0, 5, 134
"d:\Projects\mobile\Recipes\app\global\components\Filters\FiltersContainer.tsx", "TypeScript JSX", 0, 119, 0, 7, 126
"d:\Projects\mobile\Recipes\app\global\components\Filters\ModalComponent.tsx", "TypeScript JSX", 0, 114, 0, 3, 117
"d:\Projects\mobile\Recipes\app\global\components\ScreenHeader.tsx", "TypeScript JSX", 0, 41, 0, 3, 44
"d:\Projects\mobile\Recipes\app\global\services\db\dbService.ts", "TypeScript", 292, 0, 0, 17, 309
"d:\Projects\mobile\Recipes\app\global\styles\gColors.ts", "TypeScript", 4, 0, 0, 1, 5
"d:\Projects\mobile\Recipes\app\global\types\gTypes.ts", "TypeScript", 51, 0, 0, 7, 58
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\AddRecipeScreen.tsx", "TypeScript JSX", 0, 66, 10, 5, 81
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\components\AddRecipeButton.tsx", "TypeScript JSX", 0, 112, 0, 10, 122
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\components\FilterComponent.tsx", "TypeScript JSX", 0, 52, 0, 3, 55
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\components\Filters.tsx", "TypeScript JSX", 0, 38, 0, 2, 40
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\components\InputComponent.tsx", "TypeScript JSX", 0, 57, 10, 2, 69
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\components\InputWarning.tsx", "TypeScript JSX", 0, 18, 0, 2, 20
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\components\Inputs.tsx", "TypeScript JSX", 0, 34, 0, 2, 36
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\types.ts", "TypeScript", 47, 0, 0, 7, 54
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\FiltersScreen.tsx", "TypeScript JSX", 0, 106, 0, 8, 114
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\components\BottomButtons.tsx", "TypeScript JSX", 0, 98, 0, 5, 103
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\components\FilterComponent.tsx", "TypeScript JSX", 0, 63, 0, 3, 66
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\components\RecipeTypeFilters.tsx", "TypeScript JSX", 0, 38, 0, 2, 40
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\components\SearchInput.tsx", "TypeScript JSX", 0, 53, 0, 2, 55
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\components\SearchLinkWarning.tsx", "TypeScript JSX", 0, 22, 0, 2, 24
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\components\SortFilters.tsx", "TypeScript JSX", 0, 40, 0, 1, 41
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\types.ts", "TypeScript", 22, 0, 0, 3, 25
"d:\Projects\mobile\Recipes\app\screens\MainScreen\MainScreen.tsx", "TypeScript JSX", 0, 87, 0, 12, 99
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\AddRecipeButton.tsx", "TypeScript JSX", 0, 46, 0, 3, 49
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\Header.tsx", "TypeScript JSX", 0, 77, 0, 4, 81
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\RecipeCard\HighlightText.tsx", "TypeScript JSX", 0, 39, 0, 4, 43
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\RecipeCard\RecipeCard.tsx", "TypeScript JSX", 0, 167, 0, 9, 176
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\RecipeCard\RecipeTypeFilter.tsx", "TypeScript JSX", 0, 28, 0, 2, 30
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\RecipeList.tsx", "TypeScript JSX", 0, 171, 0, 9, 180
"Total", "-", 416, 1873, 20, 153, 2462
