"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"d:\Projects\mobile\Recipes\app\global\components\Filters\FilterComponent.tsx", "TypeScript JSX", 7, 0, 0, 0, 7
"d:\Projects\mobile\Recipes\app\global\components\Filters\FiltersContainer.tsx", "TypeScript JSX", 19, 0, 0, 0, 19
"d:\Projects\mobile\Recipes\app\global\services\db\dbService.ts", "TypeScript", 0, 64, 0, 2, 66
"d:\Projects\mobile\Recipes\app\global\types\gTypes.ts", "TypeScript", 0, -9, 0, 0, -9
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\AddRecipeScreen.tsx", "TypeScript JSX", 0, 0, -10, 0, -10
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\components\AddRecipeButton.tsx", "TypeScript JSX", -6, 0, 0, 0, -6
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\types.ts", "TypeScript", 0, -3, 0, 0, -3
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\FiltersScreen.tsx", "TypeScript JSX", -23, 0, 0, 0, -23
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\components\BottomButtons.tsx", "TypeScript JSX", -9, 0, 0, 0, -9
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\types.ts", "TypeScript", 0, -3, 0, 0, -3
"d:\Projects\mobile\Recipes\app\screens\MainScreen\MainScreen.tsx", "TypeScript JSX", -12, 0, 0, 0, -12
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\AddRecipeButton.tsx", "TypeScript JSX", -3, 0, 0, 0, -3
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\Header.tsx", "TypeScript JSX", -3, 0, 0, 0, -3
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\RecipeCard\RecipeCard.tsx", "TypeScript JSX", 14, 0, 0, 1, 15
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\RecipeList.tsx", "TypeScript JSX", -18, 0, 0, 0, -18
"Total", "-", -34, 49, -10, 3, 8
