"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"d:\Projects\mobile\Recipes\app\App.tsx", "TypeScript JSX", 58, 0, 0, 8, 66
"d:\Projects\mobile\Recipes\app\global\components\Filters\FilterComponent.tsx", "TypeScript JSX", 136, 0, 0, 5, 141
"d:\Projects\mobile\Recipes\app\global\components\Filters\FiltersContainer.tsx", "TypeScript JSX", 138, 0, 0, 7, 145
"d:\Projects\mobile\Recipes\app\global\components\Filters\ModalComponent.tsx", "TypeScript JSX", 114, 0, 0, 3, 117
"d:\Projects\mobile\Recipes\app\global\components\ScreenHeader.tsx", "TypeScript JSX", 41, 0, 0, 3, 44
"d:\Projects\mobile\Recipes\app\global\services\db\dbService.ts", "TypeScript", 0, 356, 0, 19, 375
"d:\Projects\mobile\Recipes\app\global\styles\gColors.ts", "TypeScript", 0, 4, 0, 1, 5
"d:\Projects\mobile\Recipes\app\global\types\gTypes.ts", "TypeScript", 0, 42, 0, 7, 49
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\AddRecipeScreen.tsx", "TypeScript JSX", 66, 0, 0, 5, 71
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\components\AddRecipeButton.tsx", "TypeScript JSX", 106, 0, 0, 10, 116
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\components\InputComponent.tsx", "TypeScript JSX", 57, 0, 10, 2, 69
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\components\InputWarning.tsx", "TypeScript JSX", 18, 0, 0, 2, 20
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\components\Inputs.tsx", "TypeScript JSX", 34, 0, 0, 2, 36
"d:\Projects\mobile\Recipes\app\screens\AddRecipeScreen\types.ts", "TypeScript", 0, 44, 0, 7, 51
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\FiltersScreen.tsx", "TypeScript JSX", 83, 0, 0, 8, 91
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\components\BottomButtons.tsx", "TypeScript JSX", 89, 0, 0, 5, 94
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\components\SearchInput.tsx", "TypeScript JSX", 53, 0, 0, 2, 55
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\components\SearchLinkWarning.tsx", "TypeScript JSX", 22, 0, 0, 2, 24
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\components\SortFilters.tsx", "TypeScript JSX", 40, 0, 0, 1, 41
"d:\Projects\mobile\Recipes\app\screens\FiltersScreen\types.ts", "TypeScript", 0, 19, 0, 3, 22
"d:\Projects\mobile\Recipes\app\screens\MainScreen\MainScreen.tsx", "TypeScript JSX", 75, 0, 0, 12, 87
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\AddRecipeButton.tsx", "TypeScript JSX", 43, 0, 0, 3, 46
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\Header.tsx", "TypeScript JSX", 74, 0, 0, 4, 78
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\RecipeCard\HighlightText.tsx", "TypeScript JSX", 39, 0, 0, 4, 43
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\RecipeCard\RecipeCard.tsx", "TypeScript JSX", 181, 0, 0, 10, 191
"d:\Projects\mobile\Recipes\app\screens\MainScreen\components\RecipeList.tsx", "TypeScript JSX", 153, 0, 0, 9, 162
"Total", "-", 1620, 465, 10, 144, 2239
